,gender,description,text,hashtags
12000,0,day dream slacker future lotto winner burn out burnout est,okay but only you buy cooky and tea and also you get ta put the stuffing back the couch when you use,
139,1,,get the job,
11154,1,award win photographer filmmaker and trainer love family animal gadget earl grey tea theo paphitis winner jan,juggle work and child entertainment far good,SBS
2622,1,storm softball,psych tutor lec where cuz need help stats the lady email say ask the psych tutor for help not the math tutor,
5898,0,user pick errytime nigga that mean do ima,and aint nobody gon shit cousin potnas soft as brother none dat shit lmao,
8442,1,this now bias can someone tell his name forget,shut this down and your homework should,
5345,0,beard princess heart play guitar and enjoy have saggy lobe,feel man desperate get the next gen get more tattoo and new music stuff,
3720,1,hip hop invicta,que seria mim sem love you the moon and back over and over and over again,SomosPorto
4020,0,superduperweirdo spookydax ethan ander,tcus come for the dub,
10582,1,writer editor pirate queen the moon pert also represent,just get back from the gym and want shower but someone do maintenance another part the house and feel obliquely rude,
4888,1,hey everyone come see how good look,you definitely agree about the yacht,
1000,1,editor writer cover pharmaceutical and medical device packaging and labeling,amcor flexibles and colalife charity the united kingdom have partner create kit design counter,
7981,1,,nice only be friend with people who make plan with you and then make you wait all day and not come through,
2628,0,curator publisher author niche social medium product creation public domain self help netpreneur researcher founder exec director nico library,the digital entrepreneur the dream building business around digital product and service old,
2837,0,dad advocate safe street all car free work small redmond tech company rhyme tycrosoft opinion tweet own espec tick you off,think all those fwy expansion project would just the ticket,whatyagonnado
12311,1,,for ere and vote for your favorite,
3360,1,all jessica jaymes picture,watch the full video jessica jaymes nail the kitchen,
12517,0,senior vice president varley usa inc web,win against your competition begin with drive revenue read and learn from master,
2583,0,love family discus idea paradise right and hell left,the world health organization report be compile international expert,
5012,0,author inspiration empowerment speaker millennial insight personal brand leadership inclusion,thanks for the recent follow happy connect have great monday via,MillennialsRevealed TheMillennialEmpowermentExpert
7526,0,already make few hundred thousand usd and get the withdrawal can share the secret with some trader,let tell you secret how can cheat the broker and make withdrawal without problem,
43,1,like sleep,camerons side the bed smell bad,
12798,1,the dreamy grime prot bitch have tweet,flesh without blood new ringtone and new alarm,
447,0,drain the pressure from the swell have amaze family and,yknow what damn do want don want don care miss don don care cya later,
10320,0,michael praetorius work digital strategist and radio guy,just register socialmediawall and try for free for minute let know you need coupon for day,
270,1,,the revelation the pugilist yet whichever order attend since continuity buy conjoint mbcqovo,
4366,1,msp digital sale cloud also like dog and fashion,the video the talk the lunchroom amp amp amp expo kudos amp amp amp,stanleyarcher ibminsight analyticsfor
12460,0,united till die simple,read nothing into yesterday rojo hot and cold but wen aggressive like yesterday,
511,0,author and podcaster interest include pop culture wwe sport the paranormal tweet lot song lyric and game,hope you mean the other way off the track away from the train riiiight,
6467,1,hockey murdoch mystery podfic cupcake pun lot cat picture you think you probably right,think purse may have demagnetize they give new one and extra,
9515,0,,and every new day blessing,CUI
4989,0,smell the flower while you can,well be revolutionary for the sun they revolve degree for their turn,
11158,0,afc,be proud present vibe hull and vibe birmingham hit for more detail,
4363,0,father golfer sport enthusiast,large part the defensive issue be lack consistent offense baylor game have good half offense defense play good,
4329,1,truth that one can replace,try forget but everywhere the smell your sheet you weren ready when you leave there,
9478,1,scrub wear scrub eng instant gram,also new out and go actually set myself fire love love,
4093,0,son brother uncle friend,free ticket for the student every game,illinination
12768,1,set your goal high and dont stop till you get there uwg,happy birthday dad wish could there help celebrate love you and thank you for everything you,
6160,0,smoke tree while knee after that cook him steak grill cheese,and you know richmond don over there lol,
2845,1,,random stuffed animal only,
4383,0,,feel like the side nigga,
3139,1,sandra beck and her listen poweredup radio and talk,sukey forbes talk about the loss her child and cop strategy live now,reconnect afterlife fit happy healthy strong 40s TalkRadio Military Mom Talk Motherhood Radio
